                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.94467,                 2.5967,                 1.3778,                0.00333,                      1,                0.32199,                 0.1793,                0.58246,                 3.2052,                  1.209,                  6e-05,                  6e-05,                  6e-05
                      1,                0.85932,                 2.2458,                 1.2916,                0.00333,                      1,                  0.955,                0.71922,                0.46485,                 3.1123,                 1.1287,             0.00013954,             0.00013954,             0.00013954
                      2,                0.81424,                 1.5479,                 1.2695,                0.00333,                      1,                  0.995,                0.78235,                0.61155,                 2.7951,                 1.1458,             0.00021855,             0.00021855,             0.00021855
                      3,                0.73114,                 1.1112,                 1.1755,                0.00333,                      1,                  0.995,                0.74358,                 0.6515,                 2.9166,                 1.2164,             0.00029703,             0.00029703,             0.00029703
                      4,                 0.7239,                 1.0374,                 1.1655,                0.00333,                      1,                  0.995,                0.77129,                0.67384,                 2.8408,                 1.2876,             0.00037498,             0.00037498,             0.00037498
                      5,                0.57655,                0.95767,                 1.0824,                      1,                 0.6665,                  0.955,                0.72727,                0.80497,                 2.7353,                 1.3153,             0.00045241,             0.00045241,             0.00045241
                      6,                0.70686,                0.95951,                 1.1862,                      1,                0.36959,                0.97214,                0.74751,                0.82696,                 2.7259,                 1.3944,             0.00052931,             0.00052931,             0.00052931
                      7,                0.66885,                0.94677,                 1.1666,                0.99321,                0.83333,                  0.899,                0.71463,                0.77647,                 2.5156,                 1.3196,             0.00060568,             0.00060568,             0.00060568
                      8,                0.71245,                0.99796,                 1.1739,                0.91062,                0.83333,                0.94167,                0.72247,                0.77725,                 2.2919,                 1.1405,             0.00068152,             0.00068152,             0.00068152
                      9,                0.63267,                0.93061,                 1.0659,                0.92485,                0.83333,                  0.895,                0.78144,                0.60631,                 2.3403,                 1.0796,             0.00075683,             0.00075683,             0.00075683
                     10,                0.72346,                0.95506,                 1.1631,                      1,                0.99863,                  0.995,                0.81025,                  0.673,                  2.124,                  1.152,             0.00083162,             0.00083162,             0.00083162
                     11,                0.75133,                0.96336,                 1.1934,                0.81668,                      1,                0.97214,                0.68711,                 1.0154,                 2.3265,                 1.3063,             0.00090588,             0.00090588,             0.00090588
                     12,                0.82431,                0.96541,                 1.1636,                      1,                0.97869,                  0.995,                0.69568,                 1.1239,                 2.4878,                 1.3686,             0.00097961,             0.00097961,             0.00097961
                     13,                0.69198,                 0.8392,                 1.0853,                0.71873,                      1,                 0.8785,                0.65306,                 1.0767,                 2.2254,                 1.4991,              0.0010528,              0.0010528,              0.0010528
                     14,                0.70448,                0.80037,                  1.121,                0.98681,                0.83333,                  0.955,                0.75979,                0.90376,                 2.0213,                 1.4072,              0.0011255,              0.0011255,              0.0011255
                     15,                0.71208,                0.80396,                 1.1133,                0.82619,                      1,                0.97214,                0.76931,                0.92754,                 1.8485,                 1.4959,              0.0011976,              0.0011976,              0.0011976
                     16,                0.72476,                 0.7963,                  1.141,                      1,                0.82696,                  0.955,                0.76227,                0.95952,                  2.207,                 1.5343,              0.0012692,              0.0012692,              0.0012692
                     17,                 0.6852,                0.79859,                  1.092,                      1,                0.82742,                  0.931,                0.62152,                 1.2535,                 2.2584,                 1.6728,              0.0013403,              0.0013403,              0.0013403
                     18,                0.74339,                0.85611,                  1.137,                0.85579,                0.99053,                0.94786,                0.58302,                 1.3798,                 2.0244,                  2.024,              0.0014109,              0.0014109,              0.0014109
                     19,                0.67454,                0.82262,                 1.0647,                0.84628,                      1,                0.97214,                0.57039,                 1.3324,                 1.7242,                 1.8003,              0.0014809,              0.0014809,              0.0014809
                     20,                0.69049,                0.78915,                 1.1246,                0.98908,                      1,                  0.995,                0.77994,                0.86278,                 1.8857,                 1.6272,              0.0015504,              0.0015504,              0.0015504
                     21,                0.71634,                0.85513,                 1.1497,                0.96257,                      1,                  0.995,                0.62874,                 1.0626,                 2.0317,                 1.7608,              0.0016194,              0.0016194,              0.0016194
                     22,                0.81996,                0.86104,                 1.1359,                0.98324,                      1,                  0.995,                0.77491,                0.98034,                 1.6959,                 1.5523,              0.0016879,              0.0016879,              0.0016879
                     23,                0.73674,                 0.7813,                 1.1484,                0.72302,                      1,                  0.955,                0.75302,                0.78047,                 1.9421,                 1.2225,              0.0017558,              0.0017558,              0.0017558
                     24,                0.68988,                0.74926,                 1.1246,                 0.7489,                0.99486,                0.92667,                 0.7485,                 0.8561,                 1.7855,                 1.2691,              0.0018232,              0.0018232,              0.0018232
                     25,                0.75485,                0.75305,                 1.1686,                0.85134,                0.66667,                0.88051,                 0.6571,                0.81996,                  1.908,                 1.2655,               0.001835,               0.001835,               0.001835
